S. No.,QUESTIONS,OPTION-A,OPTION-B,OPTION-C,OPTION-D,CORRECT ANSWER,,,,,
1,What is the time complexity of binary search?,O(log n),O(n),O(n^2 log n),O(1),D,,,,,
2,Define quicksort algorithm.,Divide and conquer,Sorting data,Pattern matching,Direct access,D,,,,,`
3,What is Dijkstra's algorithm used for?,Shortest path,Longest path,Finding max flow,Minimum spanning tree,B,,,,,
4,What is the worst-case complexity of merge sort?,O(n log n),O(n^2),O(n),O(log log n),A,,,,,
5,Explain the purpose of a hash function in algorithms.,Map values to keys,Optimize time complexity,Compress data,Optimize memory usage,B,,,,,
6,Define depth-first search.,Node traversal,Edge traversal,Finding cycle,Tree traversal,A,,,,,
7,What is Bellman-Ford algorithm?,Shortest path in weighted graph,Longest path in graph,Max flow in graph,Topological sorting,D,,,,,
8,What is the complexity of matrix multiplication?,O(n^3),O(n^2),O(log n),O(n log log n),A,,,,,
9,Define the traveling salesman problem.,Path finding,Node traversal,Shortest path,Finding root,A,,,,,
10,What is dynamic programming?,Recursive solution,Greedy approach,Divide and conquer,Looping mechanism,C,,,,,
11,What is the minimum spanning tree?,Connecting edges,Optimize cycles,Single source shortest path,Max flow calculation,C,,,,,
12,Define greedy algorithm.,Optimize solution,Local optimization,Local search method,Non-greedy method,A,,,,,
13,What is Kruskal’s algorithm?,Finds MST,Sort edges,Multi-stage optimization,Degree constraint,B,,,,,
14,What is divide and conquer approach?,Divide into sub-problems,Conquer to merge,Two phase approach,Recursive function,C,,,,,
15,Define Floyd-Warshall algorithm.,Shortest paths,Shortest path in graph,Node exploration,Repeated trials,C,,,,,
16,What is the time complexity of bubble sort?,O(n^2),O(n),O(n^3),O(log n),C,,,,,
17,Define insertion sort.,In-place sorting,Efficient insertion,Node swapping,Two-way merge,B,,,,,
18,What is KMP algorithm?,String matching,Efficient comparison,Loop matching,Prefix matching,C,,,,,
19,What is topological sorting?,Sort dependencies,Queue management,Directed acyclic graph,Path finding,A,,,,,
20,Define backtracking in algorithms.,Recursive trial,Path selection,Branching method,Loop avoidance,C,,,,,
21,What is a linked list?,Sequence of nodes,Unordered collection,Ordered collection,Linear sequence,D,,,,,
22,Define stack in data structures.,LIFO,FIFO,Stack,Queue,D,,,,,
23,What is a binary search tree?,Binary tree,Linked list,Hierarchical structure,Direct structure,D,,,,,
24,Explain the difference between a queue and a stack.,Linear structure,Non-linear structure,Sorted order,Looping,C,,,,,
25,What is a hash table?,Key-value pair,Index-based data structure,Unordered map,Hash set,C,,,,,
26,Define binary heap.,Complete binary tree,Balanced tree,Array of nodes,Fixed size tree,D,,,,,
27,What is an AVL tree?,Self-balancing tree,Binary tree,Binary search tree,Rotating tree,D,,,,,
28,Explain the concept of a graph.,Collection of nodes,Loop of nodes,Graph with cycles,Non-linear,C,,,,,
29,What is a trie data structure?,Prefix tree,Tree of words,Trie of words,Suffix tree,A,,,,,
30,Define doubly linked list.,Node links,Circular links,Binary structure,Dynamic array,D,,,,,
31,What is the purpose of a priority queue?,High-priority first,Low-priority first,Sorted insertion,Random retrieval,C,,,,,
32,Define circular linked list.,Circular data flow,Straight structure,Non-sequential structure,Link-based,B,,,,,
33,What is a red-black tree?,Balanced binary tree,Self-balancing tree,Binary balanced tree,Unordered nodes,D,,,,,
34,What is a max-heap?,Parent node greater,Children smaller,Root node less,Data node,A,,,,,
35,Define min-heap.,Parent node smaller,Children greater,Root node more,Leaf nodes only,A,,,,,
36,What is a B-tree?,Balanced M-way tree,Multiway search tree,Self-balancing B-tree,Skip-list type,D,,,,,
37,Define skip list.,List with skip pointers,Ordered access list,Pre-linked list,Random pointer,C,,,,,
38,What is hashing?,Mapping data,Direct access,Key-value assignment,Array structure,D,,,,,
39,Define adjacency list.,List of connections,Matrix of edges,Non-linked structure,Heap list,B,,,,,
40,What is a sparse matrix?,2D array,1D array,Dense matrix,Single matrix,A,,,,,
