S. No.,QUESTIONS,OPTION-A,OPTION-B,OPTION-C,OPTION-D,CORRECT ANSWER
1,What is 25% of 200?,25,50,100,75,B
2,"If a train travels 60 km in 1 hour, how far will it travel in 3 hours?",120 km,1800km,240 km,300 km,B
3,"Which number should come next in the series? 2, 6, 12, 20, 30, ...",42,36,48,54,A
4,"If TABLE is coded as GZYOV, how is CHAIR coded?",XZSKV,XZSJV,XZSKW,XZSKX,A
5,Choose the correct antonym of 'Expand'.,Contract,Extend,Grow,Increase,A
6,Identify the correctly spelled word.,Accomodation,Accommodation,Acommodation,Acommoddation,B
7,Who is the current Prime Minister of India?,Narendra Modi,Manmohan Singh,Amit Shah,Rahul Gandhi,A
8,What is the currency of Japan?,Yuan,Yen,Won,Rupee,B
9,What is 15 + 8?,20,23,25,28,B
10,What is the square root of 144?,12,14,16,18,A
11,"If A is coded as 1, B as 2, and so on, what is the code for DOG?",4 15 7,4 14 6,4 16 8,4 15 6,A
12,"If in a certain language, CAT is coded as DBU, how is BAT coded?",CBU,CAV,BBU,CBT,A
13,Choose the correct synonym of 'Happy'.,Sad,Joyful,Angry,Lonely,B
14,Find the correctly spelled word.,Recieve,Receive,Recievee,Receeve,B
15,Who is known as the Father of the Indian Constitution?,Mahatma Gandhi,Jawaharlal Nehru,B.R. Ambedkar,Sardar Patel,C
16,What is the capital of France?,Berlin,Madrid,Rome,Paris,D
17,A train 200 meters long is running at a speed of 60 km/hr. In what time will it pass a man running at 6 km/hr in the opposite direction?,12 seconds,10 seconds,15 seconds,9 seconds,B
18,"If the ratio of the ages of two persons is 4:5 and their difference in ages is 9 years, what is the age of the elder person?",36 years,45 years,54 years,50 years,B
19,Arrange the words in dictionary order: (i) Apple (ii) Appear (iii) Appoint (iv) Approach.,"(ii), (iii), (i), (iv)","(iii), (ii), (iv), (i)","(ii), (iii), (iv), (i)","(ii), (i), (iii), (iv)",C
20,"If in a certain language, APPLE is coded as ELPPA, how is ORANGE coded?",ELGNARO,EGNARO,EGNARO,ELPPA,B
21,Identify the error in this sentence: She don't know the answer.,She,don't,know,the answer,B
22,Fill in the blank: The new policy will take ________ from next month.,affect,effect,effort,efforted,B
23,Who is the current Governor of the Reserve Bank of India?,Raghuram Rajan,Shaktikanta Das,Urjit Patel,D. Subbarao,B
24,What does CRR stand for in banking terms?,Credit Reserve Ratio,Cash Reserve Ratio,Current Reserve Ratio,Capital Reserve Ratio,B
25,"What is the next number in the series: 2, 6, 12, 20, 30, ?",42,40,38,36,A
26,"A person travels 10 km North, then 10 km East, then 10 km South, and finally 10 km West. How far is he from his starting point?",10 km,5 km,0 km,20 km,C
27,"The cost price of an item is Rs. 200. If it is sold at a profit of 25%, what is the selling price?",Rs. 240,Rs. 250,Rs. 225,Rs. 260,A
28,"A bag contains 5 red balls, 4 green balls, and 3 blue balls. What is the probability of drawing a green ball?",04-Dec,01-Mar,04-Oct,03-Oct,B
29,"In a right-angled triangle, the lengths of the two perpendicular sides are 6 cm and 8 cm. What is the length of the hypotenuse?",10 cm,12 cm,14 cm,15 cm,A
30,A sum of money doubles itself in 5 years at simple interest. What is the rate of interest?,10%,12%,15%,20%,A
31,The average of five consecutive even numbers is 18. What is the sum of these numbers?,85,90,100,95,B
32,"A man can do a piece of work in 12 days, while another man can do it in 18 days. How long will it take for them to complete the work together?",6 days,8 days,7 days,10 days,B
33,What is the simple interest on Rs. 5000 at 8% per annum for 3 years?,Rs. 1200,Rs. 1300,Rs. 1400,Rs. 1500,A
34,A man bought an article for Rs. 2000 and sold it for Rs. 2400. What is the profit percentage?,18%,20%,22%,25%,(b) 20%
35,"If all the letters of the word ""COMPUTER"" are arranged in all possible ways, how many words can be formed starting with 'C'?",5040,720,120,600,(b) 720
36,"Which number will replace the question mark in the series: 1, 8, 27, 64, ?",100,125,150,81,B
37,"If in a certain language, APPLE is coded as ELPPA, how is ORANGE coded?",ELGNARO,EGNARO,EGNARO,ELPPA,B
38,Identify the error in this sentence: She don't know the answer.,She,don't,know,the answer,D
39,Choose the correct word to fill in the blank: He was very ________ to hear about the award he received.,happy,happiness,happily,happier,A
40,Identify the error in the sentence: She has gone to the market to buying vegetables.,She,gone,to,buying,D
41,"Choose the word that is most opposite in meaning to ""Excessive"".",Limited,Abundant,Scarce,Rare,A
42,"Find the word that is closest in meaning to ""Procrastinate"".",Delay,Advance,Rush,Proceed,(a) Delay
43,Choose the correct form of the word: He was very ________ at the time of the meeting.,confuse,confused,confusing,confuseful,(b) confused
44,"Which of the following is the odd one out? 5, 9, 15, 20, 25",5,9,15,25,(b) 9
45,Which number will complete the analogy: 7 : 56 :: 9 : ?,63,72,81,90,A
46,"In a family of 6 members P, Q, R, S, T, and U, there are two married couples. T is the brother of Q, who is the daughter of P. S is the father of T, and R is the wife of P. How is U related to T?",Mother,Father,Uncle,Sister,(d) Sister
47,"If you rearrange the letters of the word ""MOTHER"", which of the following will be a meaningful word?",MOTH,MOTE,MTHO,MROE,(b) MOTE
48,"Find the odd one out: Triangle, Square, Circle, Rectangle",Triangle,Square,Circle,Rectangle,(c) Circle
49,"What is the next number in the series: 3, 9, 18, ?, 45",22,24,27,30,(b) 24
50,"If you rearrange the letters of the word ""MOTHER"", which of the following will be a meaningful word?",MOTH,MOTE,MTHO,MROE,(b) MOTE
51,Identify the error in the sentence: She has gone to the market to buying vegetables.,She,gone,to,buying,D
52,"Find the odd one out: 5, 9, 15, 20, 25",5,9,15,25,B
53,Choose the correct word to fill in the blank: He was very ________ to hear about the award he received.,happy,happiness,happily,happier,A
